ID PIP,ID MS,TIP_SWAP,Fecha de Inicio,Fecha de Vencimiento,Nominal Recibe,Tasa de Referencia Recibe,Tasa Fija Recibe,Spread Recibe,Nominal Entrega,Tasa de Referencia Entrega,Tasa Fija Entrega,Spread Entrega,Pata Larga,Pata Corta,Valuación
MSCB0000187,1ab6q,6TIEMXP,23/11/2012,21/03/2030,36000000,T028,8.29,0,36000000,T028,0,0,29956780.59,22824896.55,7131884.035
MSCB0000188,1ab6r,6TIEMXP,23/11/2012,04/06/2029,23000000,T028,8.82,0,23000000,T028,0,0,19643471.96,14014030.42,5629441.543
MSCB0000209,1abvj,6TIEMXP,29/11/2012,17/11/2022,30000000,T028,5.85,0,30000000,T028,0,0,11199686.13,11069647.85,130038.282
MSCB0000210,1ac4h,6TIEMXP,29/11/2012,17/11/2022,140000000,T028,5.85,0,140000000,T028,0,0,52265201.95,51658356.63,606845.3159
MSCB0000211,1ac4j,6TIEMXP,29/11/2012,17/11/2022,150000000,T028,5.85,0,150000000,T028,0,0,55998430.66,55348239.25,650191.4099
MSCB0000212,1ac4k,6TIEMXP,29/11/2012,17/11/2022,180000000,T028,5.85,0,180000000,T028,0,0,67198116.79,66417887.1,780229.6918
MSCB0000225,1s22h,1MXPTIE,07/05/2012,04/04/2018,60000000,T028,0,0,60000000,T028,8.06,0,8170018.636,14098758.56,-5928739.924
MSCB0000226,1s22k,1MXPTIE,07/05/2012,30/07/2024,8500000,T028,0,0,8500000,T028,8.65,0,3746441.771,5435223.626,-1688781.855
MSCB0000227,1s22n,1MXPTIE,07/05/2012,24/08/2018,15500000,T028,0,0,15500000,T028,8.83,0,2423001.366,4443309.941,-2020308.575
MSCB0000228,1s22q,1MXPTIE,07/05/2012,28/02/2020,19000000,T028,0,0,19000000,T028,8.02,0,4495102.204,6856717.604,-2361615.399
MSCB0000230,1s22w,1MXPTIE,07/05/2012,03/07/2025,100000000,T028,0,0,100000000,T028,7.3,0,47742741.33,57622238.46,-9879497.133
